"","T216_DMSO","T216_GW","T2Y_DMSO","T2Y_GW","T316_DMSO","T316_GW","T3Y_DMSO","T3Y_GW"
"HPV16_W12_REF_Species_a",1176.812,1457.504,0,0,1741.364,1771.113,0,0
"HPV16_W12_REF_Species_b",289.68,379.404,0,0,467.833,73.522,0,0
"HPV16_W12_REF_Species_c",3573.079,4005.934,0,0,4354.844,4726.476,0,0
"HPV16_W12_REF_Species_d",274.667,426.544,0,0,139.024,322.258,0,0
"HPV16_W12_REF_Species_e",1.61,7.788,0,0,0,5.452,0,0
"HPV16_W12_REF_Species_f",66.73,98.279,0,0,162.54,135.801,0,0
"HPV16_W12_REF_Species_g",0,0,0,0,0,479.036,0,0
"HPV16_W12_REF_Species_h",848.936,1073.594,0,0,720.081,509.77,0,0
"HPV16_W12_REF_Species_i",0,0,0,0,291.256,0,0,0
"HPV16_W12_REF_Species_j",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_k",6.766,0,0,0,2.567,0,0,0
"HPV16_W12_REF_Species_l",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_m",24.617,102.682,0,0,14.485,16.168,0,0
"HPV16_W12_REF_Species_n",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_o",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_p",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_q",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_r",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_s",0,1.161,0,0,0,3.598,0,0
"HPV16_W12_REF_Species_t",0,0.996,0,0,0,0,0,0
"HPV16_W12_REF_Species_u",1.319,2.878,0,0,10.446,7.044,0,0
"HPV16_W12_REF_Species_v",0,0,0,0,0,0,0,0
"HPV16_W12_REF_Species_w",0,0,0,2,0,0,3.552,0
